ì˙ït,ä¥êıé“êî1ì˙,ÉâÉOïœêî,ä¥êıé“êîó›åv,éÄé“êî1ì˙,éÄé“êîó›åv,ïΩãœãCâ∑,åé,âŒ,êÖ,ñÿ,ã‡,ìy,ì˙,ójì˙,ïΩì˙ãxì˙,S,I,R,D,V,T,pop,rrI,rdI,,,,,pop2
2020/1/16,0,0,0,0,0,6.7,0,0,0,1,0,0,0,ñÿ,ïΩì˙,13951636,0,0,0,0,0,13951636,0,0,,,,202001,13951636
2020/1/17,0,0,0,0,0,7.3,0,0,0,0,1,0,0,ã‡,ïΩì˙,13951636,0,0,0,0,0,13951636,0,0,,,,202002,13953577
2020/1/18,0,0,0,0,0,3.8,0,0,0,0,0,1,0,ìy,ãxì˙,13951636,0,0,0,0,0,13951636,0,0,,,,202003,13951791
2020/1/19,0,0,0,0,0,6.5,0,0,0,0,0,0,1,ì˙,ãxì˙,13951636,0,0,0,0,0,13951636,0,0,,,,202004,13982622
2020/1/20,0,0,0,0,0,7.5,1,0,0,0,0,0,0,åé,ïΩì˙,13951636,0,0,0,0,0,13951636,0,0,,,,202005,14002973
2020/1/21,0,0,0,0,0,7.4,0,1,0,0,0,0,0,âŒ,ïΩì˙,13951636,0,0,0,0,0,13951636,0,0,,,,202006,13999568
2020/1/22,0,0,0,0,0,4.9,0,0,1,0,0,0,0,êÖ,ïΩì˙,13951636,0,0,0,0,0,13951636,0,0,,,,202007,13999624
2020/1/23,0,0,0,0,0,6.1,0,0,0,1,0,0,0,ñÿ,ïΩì˙,13951636,0,0,0,0,0,13951636,0,0,,,,202008,13993721
2020/1/24,1,0,1,0,0,9.9,0,0,0,0,1,0,0,ã‡,ïΩì˙,13951636,0,0,0,0,1,13951636,0,0,,,,202009,13981782
2020/1/25,1,1,2,0,0,7.8,0,0,0,0,0,1,0,ìy,ãxì˙,13951635,1,0,0,0,1,13951636,0,0,,,,202010,13971109
2020/1/26,0,1,2,0,0,5,0,0,0,0,0,0,1,ì˙,ãxì˙,13951634,2,0,0,0,0,13951636,0,0,,,,202011,13963751
2020/1/27,0,0,2,0,0,5.1,1,0,0,0,0,0,0,åé,ïΩì˙,13951634,2,0,0,0,0,13951636,0,0,,,,202012,13962725
2020/1/28,0,0,2,0,0,4.4,0,1,0,0,0,0,0,âŒ,ïΩì˙,13951634,2,0,0,0,0,13951636,0,0,,,,202101,13960236
2020/1/29,0,0,2,0,0,11.8,0,0,1,0,0,0,0,êÖ,ïΩì˙,13951634,2,0,0,0,0,13951636,0,0,,,,202102,13952915
2020/1/30,1,0,3,0,0,11.7,0,0,0,1,0,0,0,ñÿ,ïΩì˙,13951634,2,0,0,0,1,13951636,0,0,,,,202103,13942024
2020/1/31,0,1,3,0,0,8.1,0,0,0,0,1,0,0,ã‡,ïΩì˙,13951633,3,0,0,0,0,13951636,0,0,,,,202104,13957179
2020/2/1,0,0,3,0,0,7.9,0,0,0,0,0,1,0,ìy,ãxì˙,13951633,3,0,0,0,0,13953577,0,0,,,,202105,13963056
2020/2/2,0,0,3,0,0,8.7,0,0,0,0,0,0,1,ì˙,ãxì˙,13951633,3,0,0,0,0,13953577,0,0,,,,202106,13957977
2020/2/3,0,0,3,0,0,9.3,1,0,0,0,0,0,0,åé,ïΩì˙,13951633,3,0,0,0,0,13953577,0,0,,,,,
2020/2/4,0,0,3,0,0,7.9,0,1,0,0,0,0,0,âŒ,ïΩì˙,13951633,3,0,0,0,0,13953577,0,0,,,,,
2020/2/5,0,0,3,0,0,7.6,0,0,1,0,0,0,0,êÖ,ïΩì˙,13951633,3,0,0,0,0,13953577,0,0,,,,,
2020/2/6,0,0,3,0,0,2.9,0,0,0,1,0,0,0,ñÿ,ïΩì˙,13951633,3,0,0,0,0,13953577,0,0,,,,,
2020/2/7,0,0,3,0,0,2.4,0,0,0,0,1,0,0,ã‡,ïΩì˙,13951633,3,0,0,0,0,13953577,0,0,,,,,
2020/2/8,0,0,3,0,0,6.2,0,0,0,0,0,1,0,ìy,ãxì˙,13951633,3,0,0,0,0,13953577,0,0,,,,,
2020/2/9,0,0,3,0,0,3.9,0,0,0,0,0,0,1,ì˙,ãxì˙,13951633,3,0,0,0,0,13953577,0,0,,,,,
2020/2/10,0,0,3,0,0,4.6,1,0,0,0,0,0,0,åé,ïΩì˙,13951633,3,0,0,0,0,13953577,0,0,,,,,
2020/2/11,0,0,3,0,0,6.3,0,1,0,0,0,0,0,âŒ,ïΩì˙,13951633,3,0,0,0,0,13953577,0,0,,,,,
2020/2/12,0,0,3,0,0,8.7,0,0,1,0,0,0,0,êÖ,ïΩì˙,13951633,3,0,0,0,0,13953577,0,0,,,,,
2020/2/13,1,0,4,0,0,11.7,0,0,0,1,0,0,0,ñÿ,ïΩì˙,13951633,3,0,0,0,1,13953577,0,0,,,,,
2020/2/14,2,1,6,0,0,12,0,0,0,0,1,0,0,ã‡,ïΩì˙,13951632,4,0,0,0,2,13953577,0,0,,,,,
2020/2/15,8,2,14,0,0,12.4,0,0,0,0,0,1,0,ìy,ãxì˙,13951630,6,0,0,0,8,13953577,0,0,,,,,
2020/2/16,5,8,19,0,0,9.3,0,0,0,0,0,0,1,ì˙,ãxì˙,13951622,14,0,0,0,5,13953577,0,0,,,,,
2020/2/17,0,5,19,0,0,10.3,1,0,0,0,0,0,0,åé,ïΩì˙,13951617,19,0,0,0,0,13953577,0,0,,,,,
2020/2/18,3,0,22,0,0,7.6,0,1,0,0,0,0,0,âŒ,ïΩì˙,13951617,19,0,0,0,3,13953577,0,0,,,,,
2020/2/19,3,3,25,0,0,8.1,0,0,1,0,0,0,0,êÖ,ïΩì˙,13951614,22,0,0,0,3,13953577,0,0,,,,,
2020/2/20,0,3,25,0,0,9,0,0,0,1,0,0,0,ñÿ,ïΩì˙,13951611,25,0,0,0,0,13953577,0,0,,,,,
2020/2/21,3,0,28,0,0,10,0,0,0,0,1,0,0,ã‡,ïΩì˙,13951611,25,0,0,0,3,13953577,0,0,,,,,
2020/2/22,1,3,29,0,0,12.5,0,0,0,0,0,1,0,ìy,ãxì˙,13951608,28,0,0,0,1,13953577,0,0,,,,,
2020/2/23,0,1,29,0,0,10.4,0,0,0,0,0,0,1,ì˙,ãxì˙,13951607,29,0,0,0,0,13953577,0,0,,,,,
2020/2/24,3,0,32,0,0,9.8,1,0,0,0,0,0,0,åé,ïΩì˙,13951607,29,0,0,0,3,13953577,0,0,,,,,
2020/2/25,0,3,32,0,0,10.5,0,1,0,0,0,0,0,âŒ,ïΩì˙,13951604,32,0,0,0,0,13953577,0,1,,,,,
2020/2/26,3,0,35,1,1,8.1,0,0,1,0,0,0,0,êÖ,ïΩì˙,13951604,31,0,1,0,3,13953577,0,0,,,,,
2020/2/27,1,3,36,0,1,7,0,0,0,1,0,0,0,ñÿ,ïΩì˙,13951601,34,0,1,0,1,13953577,15,0,,,,,
2020/2/28,0,1,36,0,1,7,0,0,0,0,1,0,0,ã‡,ïΩì˙,13951600,20,15,1,0,0,13953577,0,0,,,,,
2020/2/29,1,0,37,0,1,9.4,0,0,0,0,0,1,0,ìy,ãxì˙,13951600,20,15,1,0,1,13953577,0,0,,,,,
2020/3/1,2,1,39,0,1,12,0,0,0,0,0,0,1,ì˙,ãxì˙,13951599,21,15,1,0,2,13951791,0,0,,,,,
2020/3/2,0,2,39,0,1,7.3,1,0,0,0,0,0,0,åé,ïΩì˙,13951597,23,15,1,0,0,13951791,2,0,,,,,
2020/3/3,1,0,40,0,1,11.3,0,1,0,0,0,0,0,âŒ,ïΩì˙,13951597,21,17,1,0,1,13951791,0,0,,,,,
2020/3/4,4,1,44,0,1,8.9,0,0,1,0,0,0,0,êÖ,ïΩì˙,13951596,22,17,1,0,4,13951791,2,0,,,,,
2020/3/5,8,4,52,0,1,9.2,0,0,0,1,0,0,0,ñÿ,ïΩì˙,13951592,24,19,1,0,8,13951791,1,0,,,,,
2020/3/6,6,8,58,0,1,9.4,0,0,0,0,1,0,0,ã‡,ïΩì˙,13951584,31,20,1,0,6,13951791,0,0,,,,,
2020/3/7,6,6,64,0,1,7.3,0,0,0,0,0,1,0,ìy,ãxì˙,13951578,37,20,1,0,6,13951791,0,0,,,,,
2020/3/8,0,6,64,0,1,7.2,0,0,0,0,0,0,1,ì˙,ãxì˙,13951572,43,20,1,0,0,13951791,2,1,,,,,
2020/3/9,0,0,64,1,2,13.1,1,0,0,0,0,0,0,åé,ïΩì˙,13951572,40,22,2,0,0,13951791,0,0,,,,,
2020/3/10,3,0,67,0,2,14.7,0,1,0,0,0,0,0,âŒ,ïΩì˙,13951572,40,22,2,0,3,13951791,0,0,,,,,
2020/3/11,6,3,73,0,2,15.3,0,0,1,0,0,0,0,êÖ,ïΩì˙,13951569,43,22,2,0,6,13951791,0,0,,,,,
2020/3/12,2,6,75,0,2,11.4,0,0,0,1,0,0,0,ñÿ,ïΩì˙,13951563,49,22,2,0,2,13951791,0,0,,,,,
2020/3/13,2,2,77,0,2,12.5,0,0,0,0,1,0,0,ã‡,ïΩì˙,13951561,51,22,2,0,2,13951791,0,0,,,,,
2020/3/14,10,2,87,0,2,5.5,0,0,0,0,0,1,0,ìy,ãxì˙,13951559,53,22,2,0,10,13951791,0,0,,,,,
2020/3/15,3,10,90,0,2,7.1,0,0,0,0,0,0,1,ì˙,ãxì˙,13951549,63,22,2,0,3,13951791,0,0,,,,,
2020/3/16,0,3,90,0,2,7.1,1,0,0,0,0,0,0,åé,ïΩì˙,13951546,66,22,2,0,0,13951791,8,0,,,,,
2020/3/17,12,0,102,0,2,7.7,0,1,0,0,0,0,0,âŒ,ïΩì˙,13951546,58,30,2,0,12,13951791,0,0,,,,,
2020/3/18,9,12,111,0,2,11.9,0,0,1,0,0,0,0,êÖ,ïΩì˙,13951534,70,30,2,0,9,13951791,1,0,,,,,
2020/3/19,7,9,118,0,2,14.6,0,0,0,1,0,0,0,ñÿ,ïΩì˙,13951525,78,31,2,0,7,13951791,0,1,,,,,
2020/3/20,11,7,129,1,3,14.5,0,0,0,0,1,0,0,ã‡,ïΩì˙,13951518,84,31,3,0,11,13951791,0,1,,,,,
2020/3/21,7,11,136,1,4,13.8,0,0,0,0,0,1,0,ìy,ãxì˙,13951507,94,31,4,0,7,13951791,0,0,,,,,
2020/3/22,3,7,139,0,4,16.8,0,0,0,0,0,0,1,ì˙,ãxì˙,13951500,101,31,4,0,3,13951791,0,0,,,,,
2020/3/23,16,3,155,0,4,10.3,1,0,0,0,0,0,0,åé,ïΩì˙,13951497,104,31,4,0,16,13951791,0,1,,,,,
2020/3/24,18,16,173,1,5,8.2,0,1,0,0,0,0,0,âŒ,ïΩì˙,13951481,119,31,5,0,18,13951791,0,0,,,,,
2020/3/25,41,18,214,0,5,10,0,0,1,0,0,0,0,êÖ,ïΩì˙,13951463,137,31,5,0,41,13951791,0,0,,,,,
2020/3/26,46,41,260,0,5,13,0,0,0,1,0,0,0,ñÿ,ïΩì˙,13951422,178,31,5,0,46,13951791,8,1,,,,,
2020/3/27,40,46,300,1,6,16.2,0,0,0,0,1,0,0,ã‡,ïΩì˙,13951376,215,39,6,0,40,13951791,1,1,,,,,
2020/3/28,64,40,364,1,7,15.5,0,0,0,0,0,1,0,ìy,ãxì˙,13951336,253,40,7,0,64,13951791,0,1,,,,,
2020/3/29,72,64,436,1,8,3.6,0,0,0,0,0,0,1,ì˙,ãxì˙,13951272,316,40,8,0,72,13951791,0,1,,,,,
2020/3/30,12,72,448,1,9,7.6,1,0,0,0,0,0,0,åé,ïΩì˙,13951200,387,40,9,0,12,13951791,0,7,,,,,
2020/3/31,78,12,526,7,16,9.8,0,1,0,0,0,0,0,âŒ,ïΩì˙,13951188,392,40,16,0,78,13951791,0,0,,,,,
2020/4/1,67,78,593,0,16,11.4,0,0,1,0,0,0,0,êÖ,ïΩì˙,13951110,470,40,16,0,67,13982622,0,0,,,,,
2020/4/2,98,67,691,0,16,13.9,0,0,0,1,0,0,0,ñÿ,ïΩì˙,13951043,537,40,16,0,98,13982622,11,2,,,,,
2020/4/3,92,98,783,2,18,12.8,0,0,0,0,1,0,0,ã‡,ïΩì˙,13950945,622,51,18,0,92,13982622,0,5,,,,,
2020/4/4,118,92,901,5,23,15.7,0,0,0,0,0,1,0,ìy,ãxì˙,13950853,709,51,23,0,118,13982622,1,7,,,,,
2020/4/5,141,118,1042,7,30,10.2,0,0,0,0,0,0,1,ì˙,ãxì˙,13950735,819,52,30,0,141,13982622,0,0,,,,,
2020/4/6,85,141,1127,0,30,12.1,1,0,0,0,0,0,0,åé,ïΩì˙,13950594,960,52,30,0,85,13982622,0,1,,,,,
2020/4/7,87,85,1214,1,31,12.4,0,1,0,0,0,0,0,âŒ,ïΩì˙,13950509,1044,52,31,0,87,13982622,0,4,,,,,
2020/4/8,156,87,1370,4,35,14.3,0,0,1,0,0,0,0,êÖ,ïΩì˙,13950422,1127,52,35,0,156,13982622,0,1,,,,,
2020/4/9,183,156,1553,1,36,13.3,0,0,0,1,0,0,0,ñÿ,ïΩì˙,13950266,1282,52,36,0,183,13982622,0,4,,,,,
2020/4/10,199,183,1752,4,40,11.2,0,0,0,0,1,0,0,ã‡,ïΩì˙,13950083,1461,52,40,0,199,13982622,0,0,,,,,
2020/4/11,198,199,1950,0,40,11.4,0,0,0,0,0,1,0,ìy,ãxì˙,13949884,1660,52,40,0,198,13982622,0,2,,,,,
2020/4/12,174,198,2124,2,42,10.3,0,0,0,0,0,0,1,ì˙,ãxì˙,13949686,1856,52,42,0,174,13982622,0,0,,,,,
2020/4/13,100,174,2224,0,42,8,1,0,0,0,0,0,0,åé,ïΩì˙,13949512,2030,52,42,0,100,13982622,0,5,,,,,
2020/4/14,159,100,2383,5,47,10.9,0,1,0,0,0,0,0,âŒ,ïΩì˙,13949412,2125,52,47,0,159,13982622,0,6,,,,,
2020/4/15,127,159,2510,6,53,13.8,0,0,1,0,0,0,0,êÖ,ïΩì˙,13949253,2278,52,53,0,127,13982622,0,3,,,,,
2020/4/16,151,127,2661,3,56,11.7,0,0,0,1,0,0,0,ñÿ,ïΩì˙,13949126,2402,52,56,0,151,13982622,0,7,,,,,
2020/4/17,206,151,2867,7,63,12.4,0,0,0,0,1,0,0,ã‡,ïΩì˙,13948975,2546,52,63,0,206,13982622,164,5,,,,,
2020/4/18,186,206,3053,5,68,12.9,0,0,0,0,0,1,0,ìy,ãxì˙,13948769,2583,216,68,0,186,13982622,81,3,,,,,
2020/4/19,109,186,3162,3,71,14.7,0,0,0,0,0,0,1,ì˙,ãxì˙,13948583,2685,297,71,0,109,13982622,303,6,,,,,
2020/4/20,101,109,3263,6,77,9.7,1,0,0,0,0,0,0,åé,ïΩì˙,13948474,2485,600,77,0,101,13982622,25,4,,,,,
2020/4/21,123,101,3386,4,81,14.2,0,1,0,0,0,0,0,âŒ,ïΩì˙,13948373,2557,625,81,0,123,13982622,272,0,,,,,
2020/4/22,123,123,3509,0,81,13.5,0,0,1,0,0,0,0,êÖ,ïΩì˙,13948250,2408,897,81,0,123,13982622,40,6,,,,,
2020/4/23,134,123,3643,6,87,11.9,0,0,0,1,0,0,0,ñÿ,ïΩì˙,13948127,2485,937,87,0,134,13982622,15,6,,,,,
2020/4/24,170,134,3813,6,93,12.2,0,0,0,0,1,0,0,ã‡,ïΩì˙,13947993,2598,952,93,0,170,13982622,18,7,,,,,
2020/4/25,119,170,3932,7,100,12.7,0,0,0,0,0,1,0,ìy,ãxì˙,13947823,2743,970,100,0,119,13982622,24,0,,,,,
2020/4/26,82,119,4014,0,100,18.3,0,0,0,0,0,0,1,ì˙,ãxì˙,13947704,2838,994,100,0,82,13982622,179,6,,,,,
2020/4/27,41,82,4055,6,106,12.8,1,0,0,0,0,0,0,åé,ïΩì˙,13947622,2735,1173,106,0,41,13982622,88,2,,,,,
2020/4/28,113,41,4168,2,108,12.3,0,1,0,0,0,0,0,âŒ,ïΩì˙,13947581,2686,1261,108,0,113,13982622,10,9,,,,,
2020/4/29,47,113,4215,9,117,15.1,0,0,1,0,0,0,0,êÖ,ïΩì˙,13947468,2780,1271,117,0,47,13982622,153,3,,,,,
2020/4/30,59,47,4274,3,120,18,0,0,0,1,0,0,0,ñÿ,ïΩì˙,13947421,2671,1424,120,0,59,13982622,94,6,,,,,
2020/5/1,165,59,4439,6,126,19.9,0,0,0,0,1,0,0,ã‡,ïΩì˙,13947362,2630,1518,126,0,165,14002973,32,15,,,,,
2020/5/2,154,165,4593,15,141,20.6,0,0,0,0,0,1,0,ìy,ãxì˙,13947197,2748,1550,141,0,154,14002973,17,4,,,,,
2020/5/3,93,154,4686,4,145,20.7,0,0,0,0,0,0,1,ì˙,ãxì˙,13947043,2881,1567,145,0,93,14002973,22,5,,,,,
2020/5/4,87,93,4773,5,150,19.3,1,0,0,0,0,0,0,åé,ïΩì˙,13946950,2947,1589,150,0,87,14002973,23,0,,,,,
2020/5/5,57,87,4830,0,150,21.3,0,1,0,0,0,0,0,âŒ,ïΩì˙,13946863,3011,1612,150,0,57,14002973,7,5,,,,,
2020/5/6,37,57,4867,5,155,15.8,0,0,1,0,0,0,0,êÖ,ïΩì˙,13946806,3056,1619,155,0,37,14002973,313,5,,,,,
2020/5/7,23,37,4890,5,160,16.5,0,0,0,1,0,0,0,ñÿ,ïΩì˙,13946769,2775,1932,160,0,23,14002973,204,11,,,,,
2020/5/8,39,23,4929,11,171,16.7,0,0,0,0,1,0,0,ã‡,ïΩì˙,13946746,2583,2136,171,0,39,14002973,16,9,,,,,
2020/5/9,36,39,4965,9,180,18.3,0,0,0,0,0,1,0,ìy,ãxì˙,13946707,2597,2152,180,0,36,14002973,18,0,,,,,
2020/5/10,22,36,4987,0,180,21.5,0,0,0,0,0,0,1,ì˙,ãxì˙,13946671,2615,2170,180,0,22,14002973,15,9,,,,,
2020/5/11,15,22,5002,9,189,22.9,1,0,0,0,0,0,0,åé,ïΩì˙,13946649,2613,2185,189,0,15,14002973,716,7,,,,,
2020/5/12,27,15,5029,7,196,21.7,0,1,0,0,0,0,0,âŒ,ïΩì˙,13946634,1905,2901,196,0,27,14002973,138,7,,,,,
2020/5/13,10,27,5039,7,203,22.3,0,0,1,0,0,0,0,êÖ,ïΩì˙,13946607,1787,3039,203,0,10,14002973,193,9,,,,,
2020/5/14,30,10,5069,9,212,20.8,0,0,0,1,0,0,0,ñÿ,ïΩì˙,13946597,1595,3232,212,0,30,14002973,154,7,,,,,
2020/5/15,9,30,5078,7,219,21.5,0,0,0,0,1,0,0,ã‡,ïΩì˙,13946567,1464,3386,219,0,9,14002973,88,11,,,,,
2020/5/16,14,9,5092,11,230,18.5,0,0,0,0,0,1,0,ìy,ãxì˙,13946558,1374,3474,230,0,14,14002973,38,7,,,,,
2020/5/17,5,14,5097,7,237,21.6,0,0,0,0,0,0,1,ì˙,ãxì˙,13946544,1343,3512,237,0,5,14002973,120,4,,,,,
2020/5/18,10,5,5107,4,241,19.2,1,0,0,0,0,0,0,åé,ïΩì˙,13946539,1224,3632,241,0,10,14002973,216,3,,,,,
2020/5/19,5,10,5112,3,244,17.7,0,1,0,0,0,0,0,âŒ,ïΩì˙,13946529,1015,3848,244,0,5,14002973,93,3,,,,,
2020/5/20,5,5,5117,3,247,12.7,0,0,1,0,0,0,0,êÖ,ïΩì˙,13946524,924,3941,247,0,5,14002973,132,9,,,,,
2020/5/21,11,5,5128,9,256,12.7,0,0,0,1,0,0,0,ñÿ,ïΩì˙,13946519,788,4073,256,0,11,14002973,116,7,,,,,
2020/5/22,3,11,5131,7,263,15.3,0,0,0,0,1,0,0,ã‡,ïΩì˙,13946508,676,4189,263,0,3,14002973,40,8,,,,,
2020/5/23,2,3,5133,8,271,18.4,0,0,0,0,0,1,0,ìy,ãxì˙,13946505,631,4229,271,0,2,14002973,10,9,,,,,
2020/5/24,14,2,5147,9,280,20.8,0,0,0,0,0,0,1,ì˙,ãxì˙,13946503,614,4239,280,0,14,14002973,72,8,,,,,
2020/5/25,8,14,5155,8,288,21.6,1,0,0,0,0,0,0,åé,ïΩì˙,13946489,548,4311,288,0,8,14002973,68,4,,,,,
2020/5/26,10,8,5165,4,292,20.9,0,1,0,0,0,0,0,âŒ,ïΩì˙,13946481,484,4379,292,0,10,14002973,34,4,,,,,
2020/5/27,11,10,5176,4,296,21.4,0,0,1,0,0,0,0,êÖ,ïΩì˙,13946471,456,4413,296,0,11,14002973,30,3,,,,,
2020/5/28,15,11,5191,3,299,19.4,0,0,0,1,0,0,0,ñÿ,ïΩì˙,13946460,434,4443,299,0,15,14002973,58,3,,,,,
2020/5/29,21,15,5212,3,302,20.7,0,0,0,0,1,0,0,ã‡,ïΩì˙,13946445,388,4501,302,0,21,14002973,7,2,,,,,
2020/5/30,14,21,5226,2,304,22,0,0,0,0,0,1,0,ìy,ãxì˙,13946424,400,4508,304,0,14,14002973,2,1,,,,,
2020/5/31,5,14,5231,1,305,21.3,0,0,0,0,0,0,1,ì˙,ãxì˙,13946410,411,4510,305,0,5,14002973,29,0,,,,,
2020/6/1,13,5,5244,0,305,19.6,1,0,0,0,0,0,0,åé,ïΩì˙,13946405,387,4539,305,0,13,13999568,47,1,,,,,
2020/6/2,34,13,5278,1,306,22.3,0,1,0,0,0,0,0,âŒ,ïΩì˙,13946392,352,4586,306,0,34,13999568,37,0,,,,,
2020/6/3,12,34,5290,0,306,24,0,0,1,0,0,0,0,êÖ,ïΩì˙,13946358,349,4623,306,0,12,13999568,25,1,,,,,
2020/6/4,28,12,5318,1,307,23.5,0,0,0,1,0,0,0,ñÿ,ïΩì˙,13946346,335,4648,307,0,28,13999568,39,2,,,,,
2020/6/5,20,28,5338,2,309,24.8,0,0,0,0,1,0,0,ã‡,ïΩì˙,13946318,322,4687,309,0,20,13999568,8,2,,,,,
2020/6/6,26,20,5364,2,311,24.2,0,0,0,0,0,1,0,ìy,ãxì˙,13946298,332,4695,311,0,26,13999568,1,0,,,,,
2020/6/7,14,26,5378,0,311,22,0,0,0,0,0,0,1,ì˙,ãxì˙,13946272,357,4696,311,0,14,13999568,20,0,,,,,
2020/6/8,13,14,5391,0,311,23.2,1,0,0,0,0,0,0,åé,ïΩì˙,13946258,351,4716,311,0,13,13999568,42,0,,,,,
2020/6/9,12,13,5403,0,311,25.5,0,1,0,0,0,0,0,âŒ,ïΩì˙,13946245,322,4758,311,0,12,13999568,27,0,,,,,
